contigName	contigLen	totalAvgDepth	L1.sorted.bam	L1.sorted.bam-var	L2.sorted.bam	L2.sorted.bam-var	L3.sorted.bam	L3.sorted.bam-var	P1.sorted.bam	P1.sorted.bam-var	P2.sorted.bam	P2.sorted.bam-var	P3.sorted.bam	P3.sorted.bam-var
NODE_21_length_232693_cov_25.4163_ID_32065074	232693	4.14403	0.955896	1.01809	0.864928	0.885614	0.956769	0.973896	0.482676	0.515379	0.226896	0.233311	0.656863	0.688412
NODE_22_length_223437_cov_22.7802_ID_31715587	223437	3.55371	0.575318	0.601131	0.501449	0.537896	0.330225	0.353034	0.630068	0.655786	1.43409	1.48207	0.0825664	0.0915816
NODE_23_length_219775_cov_24.8535_ID_28391667	219775	4.17439	0.968697	0.980115	0.839526	0.885003	0.969466	1.0438	0.511126	0.528156	0.222406	0.237024	0.663171	0.682573
NODE_24_length_217060_cov_26.7488_ID_24619920	217060	4.32496	1.15803	1.19096	0.961058	0.991394	1.18125	1.18952	0.0134388	0.0168289	0.323526	0.322412	0.687663	0.726363
NODE_25_length_216888_cov_28.8231_ID_31818091	216888	4.76698	1.29412	1.33075	1.04876	1.05554	1.2293	1.35059	0.014123	0.0154214	0.359291	0.374493	0.821374	0.882525
NODE_26_length_203451_cov_25.3526_ID_28466670	203451	4.15038	0.921515	1.03847	0.862918	0.898154	1.03511	1.06217	0.481065	0.492965	0.195621	0.202427	0.654148	0.678807
NODE_27_length_201335_cov_26.831_ID_23907344	201335	4.27714	1.16318	1.319	0.949097	0.991057	1.09813	1.17211	0.0101648	0.0138829	0.348923	0.356819	0.707642	0.758346
NODE_28_length_191107_cov_26.7421_ID_32163909	191107	4.19675	1.17701	1.20205	0.917934	0.97607	1.09211	1.16173	0.00892871	0.0133782	0.320282	0.334242	0.680483	0.69495
NODE_29_length_186339_cov_24.8852_ID_32303295	186339	4.08697	0.949395	1.01775	0.877893	0.953222	0.963736	1.02732	0.438173	0.453431	0.208632	0.220541	0.649141	0.663812
NODE_30_length_177018_cov_22.7422_ID_31305240	177018	3.62888	0.643898	0.716742	0.513106	0.573395	0.315733	0.343123	0.664999	0.724559	1.41902	1.47747	0.0721272	0.08658
NODE_31_length_170938_cov_25.5057_ID_31980745	170938	4.1236	0.962954	1.04065	0.881491	0.937456	0.984776	1.08636	0.485169	0.52799	0.209142	0.217671	0.600071	0.617275
NODE_32_length_166433_cov_24.1685_ID_29415742	166433	3.37877	0.813222	0.917525	0.758237	0.818893	0.75398	0.838054	0.380574	0.41716	0.169127	0.180603	0.503629	0.529533
NODE_33_length_159543_cov_25.5076_ID_23904109	159543	4.08737	0.9308	1.02993	0.857051	0.829142	1.03698	1.1072	0.465685	0.525266	0.166883	0.180779	0.629965	0.647881
NODE_34_length_157663_cov_26.2058_ID_29812471	157663	4.40946	1.07254	1.08289	0.908046	0.99179	1.00091	1.09312	0.493813	0.496626	0.24417	0.256665	0.689975	0.792243
NODE_35_length_150343_cov_22.2332_ID_32498644	150343	3.56778	0.602791	0.629516	0.553721	0.558678	0.297664	0.294605	0.643199	0.706468	1.36566	1.41201	0.104752	0.112807
NODE_36_length_146493_cov_22.6333_ID_31938972	146493	3.47198	0.580998	0.637208	0.453175	0.519934	0.298525	0.338335	0.643557	0.715237	1.42247	1.51155	0.0732594	0.0915267
NODE_37_length_142106_cov_24.7296_ID_24308720	142106	3.87364	0.889966	0.948426	0.832209	0.891603	0.949301	0.966945	0.50932	0.542104	0.175371	0.176116	0.517477	0.545418
NODE_38_length_140006_cov_23.3565_ID_23906690	140006	3.66694	0.598666	0.577225	0.502996	0.515068	0.287152	0.301805	0.631357	0.651121	1.57511	1.66459	0.0716594	0.0705857
NODE_39_length_139987_cov_21.7945_ID_31883302	139987	3.5908	0.638651	0.75109	0.442794	0.469105	0.330678	0.34115	0.643013	0.69258	1.41977	1.50354	0.115885	0.123892
NODE_40_length_130417_cov_26.1502_ID_32361396	130417	4.15526	1.00458	1.05158	0.805684	0.906125	0.960351	1.07086	0.535592	0.60046	0.213431	0.253424	0.635618	0.673329
NODE_41_length_126302_cov_22.1832_ID_31423978	126302	3.23457	0.560332	0.55317	0.490012	0.477701	0.282453	0.302884	0.592531	0.611821	1.23737	1.30527	0.0718657	0.075445
NODE_42_length_120630_cov_22.7466_ID_27777084	120630	3.4309	0.567339	0.565592	0.471057	0.491008	0.27114	0.274605	0.639426	0.672421	1.38582	1.40443	0.0961238	0.0978103
NODE_43_length_117968_cov_27.0184_ID_31862324	117968	4.27305	1.10768	1.09853	0.902876	0.969772	1.06562	1.09068	0.0124259	0.0139163	0.37288	0.348389	0.811565	0.801676
NODE_44_length_114577_cov_26.9029_ID_23908928	114577	4.17974	1.10973	1.27997	0.899709	0.970867	1.13068	1.11781	0.0290141	0.122792	0.329258	0.357032	0.681351	0.787722
NODE_45_length_114074_cov_22.0245_ID_32187547	114074	3.44201	0.53253	0.535201	0.464705	0.505506	0.267117	0.28616	0.626655	0.617256	1.46097	1.49013	0.0900337	0.108492
NODE_46_length_113027_cov_26.2871_ID_32409827	113027	4.37404	0.918478	0.968781	0.955102	1.01472	1.07329	1.1457	0.551645	0.590642	0.225786	0.235591	0.649743	0.624835
NODE_47_length_112763_cov_24.6361_ID_32214061	112763	3.94332	1.00328	1.01436	0.834247	0.901438	0.972969	1.09547	0.00888885	0.00989184	0.393596	0.411993	0.730342	0.775787
NODE_48_length_112614_cov_26.7552_ID_24372922	112614	4.47242	1.1348	1.23714	0.991162	1.00595	1.17772	1.31368	0.0184059	0.0211383	0.347533	0.393179	0.802799	0.796347
NODE_49_length_112118_cov_28.8531_ID_31928399	112118	4.41503	0.0147989	0.0145999	0.0392166	0.0503213	0.0151293	0.015266	0.644488	0.687118	2.13383	2.19556	1.56756	1.70703
NODE_50_length_111209_cov_25.9773_ID_32089771	111209	4.36972	1.04227	1.15341	0.864018	0.899295	1.02106	1.00723	0.542198	0.596443	0.221657	0.224158	0.678522	0.712043
NODE_51_length_109071_cov_757.105_ID_32621973	109071	122.367	26.7978	34.6691	26.0656	29.8595	25.3282	31.5183	14.2414	16.1823	14.3862	18.4771	15.5482	18.8951
NODE_52_length_106957_cov_22.3827_ID_32406570	106957	3.38706	0.559289	0.643297	0.421461	0.452586	0.280862	0.282136	0.623798	0.663708	1.41272	1.46191	0.0889361	0.088987
NODE_53_length_106314_cov_24.7282_ID_24277289	106314	4.02317	1.04325	1.02898	0.925276	0.985577	1.06818	1.1141	0.00627331	0.0101349	0.305066	0.343484	0.675125	0.700641
NODE_54_length_101249_cov_24.6063_ID_23902753	101249	3.76565	0.39311	0.392177	0.468026	0.477564	0.279172	0.261917	1.32622	1.34717	1.24405	1.26253	0.0550648	0.0549014
NODE_55_length_100379_cov_25.349_ID_29567575	100379	4.17348	0.994263	0.965007	0.858125	0.874672	0.967026	1.03751	0.530755	0.567791	0.22713	0.231811	0.596185	0.581349
NODE_56_length_98812_cov_24.6392_ID_23909996	98812	3.94638	0.999331	1.04455	0.890687	0.987946	1.09778	1.181	0.00880785	0.0141548	0.271543	0.288732	0.678235	0.736595
NODE_57_length_97335_cov_26.3923_ID_32245057	97335	4.28959	0.91972	0.997437	1.00803	1.27468	1.02838	1.10468	0.412574	0.506525	0.177939	0.191193	0.742954	0.807684
NODE_58_length_96123_cov_27.8714_ID_27805455	96123	4.43699	1.2013	1.25436	1.00653	1.14837	1.087	1.13218	0.00748127	0.00830429	0.383952	0.422833	0.750722	0.806201
NODE_59_length_93371_cov_259.75_ID_23904433	93371	146.507	24.1261	169.685	19.611	187.575	18.8583	159.362	26.8613	79.2318	31.8346	99.0956	25.2158	93.5831
NODE_60_length_91340_cov_28.4408_ID_32194017	91340	4.49379	1.16767	1.14329	0.899221	0.940051	1.16326	1.24625	0.0118434	0.0134031	0.373133	0.41265	0.87866	0.900552
NODE_61_length_91270_cov_23.1704_ID_23903051	91270	3.79209	0.383944	0.384139	0.597838	0.633567	0.264223	0.275114	1.39751	1.51236	1.07824	1.11097	0.0703358	0.071454
NODE_62_length_89766_cov_22.4193_ID_32068547	89766	3.50487	0.545818	0.584798	0.509083	0.498239	0.383905	0.430501	0.650799	0.675969	1.31231	1.57059	0.10295	0.107329
NODE_63_length_89588_cov_5.21876_ID_30058778	89588	0.814061	0.497741	0.511418	0.154889	0.17412	0.00772602	0.00766761	0.121749	0.13758	0.0221718	0.0225948	0.00978331	0.0138377
NODE_64_length_85705_cov_24.4069_ID_24200313	85705	3.938	0.908421	0.940656	0.880778	0.869902	0.871778	0.880076	0.46798	0.518865	0.162808	0.180568	0.646239	0.713921
NODE_65_length_83838_cov_25.4446_ID_25825316	83838	4.22658	1.15916	1.32303	0.940517	0.956357	1.11071	1.18535	0.0158804	0.0225049	0.280757	0.35012	0.719554	0.845505
NODE_66_length_82616_cov_22.6916_ID_29676378	82616	3.64788	0.673114	0.662934	0.525889	0.59766	0.369364	0.379657	0.627798	0.658257	1.37751	1.53056	0.0742003	0.0780326
NODE_67_length_81227_cov_25.0838_ID_23904091	81227	4.10505	0.440927	0.446967	0.62062	0.66064	0.204509	0.207698	1.5609	1.67452	1.20974	1.32793	0.0683548	0.0682204
NODE_68_length_80236_cov_23.8569_ID_29214697	80236	3.8605	0.912981	1.03734	0.827136	0.931044	0.894039	0.973236	0.422421	0.433098	0.234972	0.221888	0.568951	0.61396
NODE_69_length_77930_cov_4.90761_ID_26413280	77930	0.672949	0.434559	0.448501	0.100206	0.104022	0.0175238	0.0248518	0.0824248	0.0896785	0.0248264	0.025259	0.0134096	0.0171542
NODE_70_length_77128_cov_27.4158_ID_23904306	77128	4.56902	1.19391	1.23088	1.02601	1.13828	1.15789	1.11963	0.00775546	0.00793013	0.350503	0.366105	0.832952	0.934651
NODE_71_length_74544_cov_4.91721_ID_29255202	74544	0.774659	0.455642	0.458611	0.113934	0.129825	0.0197328	0.0198479	0.123639	0.128004	0.0399226	0.0393612	0.0217894	0.021838
NODE_72_length_72566_cov_33.0899_ID_31817070	72566	3.90066	0.0226607	0.031382	0.044272	0.0659187	0.0219841	0.0251516	0.67017	0.762573	1.88822	2.1081	1.25336	1.4935
NODE_73_length_72311_cov_32.1655_ID_23921848	72311	4.40303	0.00834246	0.00826703	0.0273555	0.0265996	0.015216	0.0155749	0.734039	0.831472	2.13527	2.41413	1.48281	1.39225
NODE_74_length_71734_cov_6.17317_ID_23908850	71734	1.13057	0.200156	0.246873	0.193255	0.272711	0.192529	0.68264	0.0687724	0.329793	0.0943647	0.197277	0.381496	0.458938
NODE_75_length_69112_cov_30.4091_ID_23918626	69112	4.84442	0.0218236	0.0220261	0.0262173	0.0293824	0.0130942	0.0129311	0.782938	0.83609	2.30314	2.26764	1.69721	2.01569
NODE_76_length_67475_cov_4.62909_ID_30264870	67475	0.659265	0.384746	0.386151	0.120356	0.138969	0.0200074	0.0207755	0.107538	0.103041	0.0232752	0.0245363	0.003342	0.00448876
NODE_77_length_65112_cov_22.4944_ID_31933852	65112	3.39511	0.60266	0.613867	0.551784	0.564726	0.265494	0.278052	0.668452	0.73127	1.23272	1.19163	0.0739971	0.0751978
NODE_78_length_64999_cov_28.8305_ID_23924992	64999	4.40243	0.0185508	0.0182221	0.0329843	0.0376796	0.0092831	0.00919015	0.612577	0.585683	2.21405	2.07664	1.51498	1.6562
NODE_79_length_64888_cov_25.7613_ID_29884664	64888	4.20606	0.935741	1.09957	0.855649	0.957327	1.02241	1.2038	0.531156	0.48938	0.158902	0.141775	0.7022	0.814642
NODE_80_length_64031_cov_4.72029_ID_30016645	64031	0.768476	0.486671	0.500559	0.11343	0.14353	0.0093455	0.00925492	0.0975407	0.0973899	0.0532866	0.0730033	0.00820275	0.0113553
NODE_81_length_63256_cov_28.7858_ID_23910618	63256	4.68773	0.0191265	0.0187614	0.0238488	0.0232948	0.0142776	0.0140735	0.687542	0.723634	2.25628	2.18559	1.68665	2.0295
NODE_82_length_62698_cov_29.6804_ID_23917722	62698	4.80859	0.0243493	0.0409484	0.0384345	0.0634544	0.0301369	0.0462819	0.748401	0.722573	2.14685	2.29733	1.82043	2.20134
NODE_83_length_62677_cov_4.34218_ID_24030199	62677	0.654773	0.390951	0.429096	0.114814	0.120417	0.00251092	0.00310972	0.0881859	0.0981285	0.051018	0.0507095	0.00729285	0.00906579
NODE_84_length_61818_cov_5.24413_ID_28381185	61818	0.761854	0.515016	0.482838	0.0979763	0.105811	0.00681066	0.0073836	0.124278	0.127576	0.0160375	0.0171658	0.0017351	0.00173145
NODE_85_length_61629_cov_275.142_ID_23911444	61629	206.824	42.1926	55.5766	43.9298	57.7325	43.1636	62.6171	24.4075	32.0171	26.2563	34.2166	26.8741	30.8076
NODE_86_length_61439_cov_305.767_ID_23961506	61439	215.144	44.2337	561.068	45.0343	605.311	44.3679	612.17	26.4861	214.566	27.1487	216.091	27.873	223.404
NODE_87_length_60826_cov_20.0864_ID_23956826	60826	1.60279	0.426577	0.485705	0.309035	0.307582	0.323291	0.382024	0.203688	0.193105	0.087959	0.0852199	0.252241	0.257505
NODE_88_length_59852_cov_6.3745_ID_30883426	59852	1.19983	0.252236	0.254599	0.329821	0.351001	0.231667	0.240622	0.0107032	0.011229	0.16976	0.196813	0.205638	0.217733
NODE_89_length_59786_cov_28.5656_ID_24824904	59786	4.16166	0.010061	0.00997673	0.0453753	0.0434294	0.0109665	0.0149389	0.582551	0.690851	2.09489	2.27701	1.41782	1.45306
NODE_90_length_58768_cov_34.2476_ID_23925519	58768	4.49485	0.015456	0.0152212	0.0144836	0.0142637	0.00513494	0.00511166	0.70231	0.740734	2.2705	2.28556	1.48697	1.68787
NODE_91_length_58753_cov_4.90279_ID_31614866	58753	0.764466	0.461666	0.515664	0.118646	0.123717	0.00291794	0.00291166	0.126205	0.123674	0.0452878	0.0438493	0.00974353	0.0110872
NODE_92_length_57364_cov_28.6123_ID_23926696	57364	4.47149	0.0206418	0.0318634	0.0236306	0.0337196	0.0112036	0.0117414	0.782623	0.903286	2.18102	2.1589	1.45237	1.45315
NODE_93_length_57163_cov_296.438_ID_23920003	57163	201.732	41.3498	104.505	42.675	103.925	41.4449	97.0403	24.3406	51.9907	25.7048	49.9328	26.2171	50.1086
NODE_94_length_57147_cov_4.0481_ID_24626469	57147	0.753969	0.196221	0.223667	0.175781	0.171302	0.172395	0.18664	0.0114567	0.0126853	0.0595821	0.0596421	0.138534	0.137507
NODE_95_length_57033_cov_33.3126_ID_23934027	57033	4.20199	0.0264402	0.0363391	0.026493	0.0257838	0.0140112	0.0145497	0.615105	0.595872	2.09683	2.14708	1.42311	1.61261
NODE_96_length_56706_cov_27.8583_ID_23915990	56706	4.52939	0.0186541	0.0224863	0.0532216	0.0548642	0.00526911	0.00524168	0.583475	0.617415	2.39764	2.62195	1.47113	1.40626
NODE_97_length_56610_cov_26.5239_ID_32059902	56610	4.39929	0.962044	1.07247	0.991888	1.17288	1.03569	1.06669	0.534733	0.586036	0.218385	0.200323	0.656553	0.609001
NODE_98_length_56250_cov_28.2384_ID_23921641	56250	4.29524	0.0268449	0.026134	0.0191087	0.0214541	0.0087344	0.0125399	0.613601	0.598546	2.22872	2.3374	1.39824	1.47605
NODE_99_length_56230_cov_5.30919_ID_32540821	56230	0.953245	0.545096	0.62109	0.143723	0.174672	0.0170649	0.0239201	0.172914	0.177646	0.0614123	0.0692736	0.013035	0.0204321
NODE_100_length_55959_cov_23.9291_ID_23913214	55959	2.30509	0.508896	0.677304	0.509344	0.606561	0.540827	0.620462	0.259976	0.280648	0.125356	0.141472	0.360694	0.404405
NODE_101_length_55785_cov_4.75256_ID_23928709	55785	0.664815	0.442581	0.459818	0.116366	0.118252	0.00145592	0.00145177	0.0824122	0.0889504	0.0207423	0.0203182	0.0012582	0.00125653
NODE_102_length_55674_cov_25.6764_ID_23911063	55674	4.00241	0.980513	0.98062	0.834558	0.975494	1.14558	1.11582	0.00814062	0.0128982	0.314062	0.324837	0.719563	0.698423
NODE_103_length_55199_cov_28.2236_ID_32315128	55199	4.67293	0.0273211	0.0265614	0.0273574	0.0266083	0.0164036	0.0161131	0.723683	0.750147	2.36871	2.66968	1.50946	1.47826
NODE_104_length_54833_cov_25.0693_ID_23907294	54833	4.06016	0.890588	1.08111	0.723406	0.73893	0.934788	1.05732	0.554468	0.569183	0.256021	0.285248	0.700894	0.758043
NODE_105_length_53897_cov_24.2562_ID_25080165	53897	3.52068	0.638287	0.681713	0.439894	0.470627	0.22431	0.229785	0.618025	0.580853	1.49372	1.57608	0.106443	0.119188
NODE_106_length_52864_cov_296.943_ID_32250936	52864	200.454	40.8877	142.632	41.9761	152.55	41.4366	155.198	24.4467	65.7769	25.4602	52.1428	26.2463	72.7863
NODE_107_length_52641_cov_303.322_ID_32256592	52641	205.224	42.2707	85.5619	42.6086	83.7029	42.1278	90.7574	25.5885	40.8029	25.9839	51.8526	26.6449	44.0023
NODE_108_length_52263_cov_25.1765_ID_32411252	52263	3.886	1.14089	1.09074	0.850863	0.821196	1.04177	1.12047	0.016541	0.0181703	0.31495	0.390419	0.520983	0.55883
NODE_109_length_52184_cov_283.015_ID_31971868	52184	202.545	42.0333	70.7885	42.1847	65.7087	42.2928	70.1012	24.0882	33.5924	25.3184	34.9655	26.6277	41.261
NODE_110_length_51560_cov_4.68075_ID_23925164	51560	0.768547	0.0827466	0.0921116	0.146508	0.138529	0.0648123	0.062297	0.18016	0.174664	0.288465	0.301345	0.00585489	0.00581709
NODE_111_length_51263_cov_31.4536_ID_23928125	51263	4.43048	0.0243774	0.0246111	0.0527459	0.0557421	0.00956704	0.0102113	0.700076	0.674667	2.22362	2.25426	1.42009	1.50335
NODE_112_length_51185_cov_28.8953_ID_23915667	51185	4.50289	0.00587832	0.00584122	0.0176937	0.0192164	0.0146566	0.0144468	0.60919	0.684324	2.2474	2.64926	1.60807	2.00515
NODE_113_length_50410_cov_33.0511_ID_32303375	50410	4.4043	0.0162555	0.0237862	0.0426781	0.0471795	0.0127736	0.0133722	0.66351	0.729633	2.18247	2.35401	1.48661	1.73518
NODE_114_length_49100_cov_265.904_ID_23911107	49100	200.945	40.7233	51.0647	42.3083	54.1807	41.9091	55.9956	24.0187	25.6844	26.0554	29.8653	25.9298	33.0955
NODE_115_length_49037_cov_28.3276_ID_32128872	49037	4.13928	0.00885716	0.0145371	0.0259374	0.0296088	0.0184507	0.0188676	0.618815	0.667566	2.03432	2.29176	1.4329	1.63768
NODE_116_length_48932_cov_296.146_ID_23909890	48932	212.817	44.36	58.8225	44.7678	50.9492	44.0317	51.6792	25.3995	27.2594	26.7024	30.0862	27.5552	32.8884
NODE_117_length_48125_cov_29.8244_ID_23979453	48125	4.23439	0.0188223	0.0245617	0.0314122	0.0332514	0.0188431	0.0184987	0.529297	0.515218	2.06676	1.86598	1.56925	1.80515
NODE_118_length_47977_cov_29.1632_ID_32064231	47977	4.77603	0.0182115	0.0241906	0.037782	0.0410245	0.00947164	0.00938354	0.669559	0.635986	2.4382	2.53566	1.6028	1.88891
NODE_119_length_47428_cov_29.4667_ID_23929011	47428	4.67173	0.00319387	0.00318817	0.0379458	0.0365245	0.0318964	0.0364771	0.678519	0.722627	2.33561	2.42182	1.58456	1.61354
NODE_120_length_46915_cov_4.23449_ID_28167184	46915	0.762707	0.49336	0.482849	0.134588	0.138646	0.00128301	0.00127978	0.0984497	0.116154	0.0270074	0.0270933	0.00801882	0.00795424
NODE_121_length_46781_cov_5.39708_ID_28553202	46781	0.821256	0.427034	0.440155	0.142738	0.138154	0.0104437	0.0103415	0.14025	0.137028	0.0935858	0.0906778	0.00720551	0.00715604
NODE_122_length_46590_cov_270.17_ID_23908192	46590	200.343	41.2855	51.0599	42.1883	59.8846	41.2816	54.0854	24.0168	31.313	25.7652	32.8299	25.8052	29.6152
NODE_123_length_46534_cov_288.973_ID_32515811	46534	200.915	41.5636	104.375	41.5678	82.1279	41.5432	95.8183	24.8286	43.7339	25.729	42.546	25.6828	45.9935
NODE_124_length_46437_cov_28.1122_ID_23918961	46437	4.74258	1.21514	1.35439	1.18629	1.19869	1.19746	1.38453	0.00788558	0.00976698	0.388165	0.421633	0.74764	0.800466
NODE_125_length_46284_cov_4.07136_ID_23950974	46284	0.677266	0.08924	0.083136	0.144449	0.168002	0.118676	0.111215	0.094659	0.101131	0.0406858	0.0390546	0.189557	0.197045
NODE_126_length_46242_cov_280.838_ID_23936628	46242	202.135	41.6457	64.7162	41.9769	60.7261	41.4579	61.9767	24.6123	33.2895	25.9552	33.632	26.4872	35.8622
NODE_127_length_46117_cov_326.899_ID_23924033	46117	204.265	41.7445	127.06	43.4061	135.046	41.69	122.101	24.3598	57.5038	26.2264	64.7739	26.8385	62.3049
NODE_128_length_46060_cov_4.6408_ID_23988095	46060	0.658288	0.379329	0.388492	0.13949	0.151819	0	0	0.105075	0.116723	0.0263123	0.0259662	0.00808103	0.00888529
NODE_129_length_45913_cov_289.448_ID_23910811	45913	208.467	42.8298	51.9147	42.4891	46.1178	43.3211	51.4154	25.6194	31.0396	26.9715	29.5217	27.2361	33.77
NODE_130_length_45646_cov_3.80742_ID_23930523	45646	0.68683	0.089964	0.0957551	0.100207	0.109786	0.153068	0.190578	0.0530156	0.0502132	0.0391683	0.0385305	0.251407	0.327997
NODE_131_length_45613_cov_20.5158_ID_23908269	45613	3.34168	0.768449	0.855133	0.829862	1.00472	0.92616	0.957055	0.319623	0.29037	0.182368	0.173357	0.315223	0.312769
NODE_132_length_45603_cov_4.84906_ID_28046483	45603	0.706444	0.431963	0.436313	0.0967373	0.0996194	0.00708424	0.00703197	0.126548	0.120608	0.0248168	0.0250327	0.0192947	0.0234936
NODE_133_length_44887_cov_29.0818_ID_31995003	44887	4.51881	0.027494	0.0294477	0.0262423	0.0316794	0.0283881	0.0285618	0.668529	0.631162	2.31826	2.4924	1.4499	1.64515
NODE_134_length_44786_cov_24.6982_ID_23908502	44786	4.22957	0.950892	1.04962	0.91238	0.8787	1.00152	0.992159	0.520365	0.54183	0.216014	0.24046	0.628394	0.594891
NODE_135_length_44544_cov_3.8069_ID_29765593	44544	0.592648	0.133441	0.126129	0.0757535	0.0776747	0.110736	0.109251	0.0832995	0.0772495	0.0441952	0.0439552	0.145222	0.134393
NODE_136_length_44276_cov_28.9039_ID_23952665	44276	4.33753	0.0340842	0.0329594	0.0355799	0.0352091	0.00684404	0.00680853	0.625482	0.537076	2.05999	2.30215	1.57556	1.51757
NODE_137_length_44243_cov_3.94788_ID_23958422	44243	0.698864	0.129771	0.145557	0.137527	0.130208	0.0808065	0.092946	0.165922	0.163986	0.0342231	0.0365186	0.150613	0.145617
NODE_138_length_43656_cov_3.52504_ID_23968742	43656	0.683837	0	0	0.0136993	0.0193024	0.000827472	0.000826403	0.499586	0.595355	0.157817	0.150112	0.0119064	0.015343
NODE_139_length_43587_cov_27.3883_ID_23950433	43587	4.55998	0.00692958	0.00688549	0.0277413	0.0269708	0.0206966	0.0202681	0.680871	0.651884	2.36331	2.83705	1.46044	1.61606
NODE_140_length_43129_cov_271.943_ID_32135567	43129	203.041	41.8403	53.3229	41.4855	52.617	42.7004	52.6486	24.8148	26.9204	25.7358	26.4123	26.4644	36.0945
NODE_141_length_43047_cov_268.928_ID_32099899	43047	201.466	41.4338	58.9631	42.1425	53.1906	41.5395	47.4606	24.1298	26.4119	25.7523	30.6573	26.4682	34.2594
NODE_142_length_43046_cov_30.8745_ID_32063820	43046	4.56677	0	0	0.0321708	0.04524	0.0145468	0.0143306	0.753497	0.815853	2.20359	1.97192	1.56297	1.68726
